StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,DIABETES_CrudePrev,OBESITY_CrudePrev,ACCESS2_CrudePrev,CSMOKING_CrudePrev,FOODINSECU_CrudePrev,Geolocation
AR,Arkansas,Yell,5149,20044,14.7,42.0,15.3,18.4,20.2,POINT (-93.4103078380225 35.002782920903)
WI,Wisconsin,Sauk,55111,65920,12.3,40.4,8.0,14.9,11.5,POINT (-89.9480570627182 43.4268791076475)
ND,North Dakota,Dunn,38025,4019,11.5,36.7,7.8,14.8,11.3,POINT (-102.618267955259 47.3566450598152)
NE,Nebraska,Wayne,31179,9874,9.7,37.3,8.9,12.0,11.8,POINT (-97.1192717308651 42.2093316511452)
AL,Alabama,Randolph,1111,22786,16.1,37.8,10.2,16.9,19.2,POINT (-85.4593334042301 33.293864006059)
ND,North Dakota,Pierce,38069,3902,12.1,40.7,7.0,14.2,10.7,POINT (-99.9717928450747 48.2496089193357)
AR,Arkansas,Baxter,5005,42875,15.0,37.7,10.0,16.6,15.2,POINT (-92.3369593879758 36.2869936509323)
IL,Illinois,Henderson,17071,6088,14.1,38.6,7.6,15.1,12.7,POINT (-90.9250782416312 40.8180498314021)
NY,New York,Lewis,36049,26548,11.8,40.9,6.2,15.1,13.7,POINT (-75.448690709062 43.7850080007458)
GA,Georgia,Brantley,13025,18401,14.4,39.0,14.4,19.6,18.4,POINT (-81.9816946940662 31.1969130783185)
TX,Texas,Galveston,48167,361744,12.3,34.0,15.0,12.3,,POINT (-94.9597574835982 29.3894859342215)
AR,Arkansas,Pulaski,5119,400009,12.9,40.5,10.4,13.4,18.5,POINT (-92.3119548341849 34.7700394452014)
TN,Tennessee,Bedford,47003,53055,13.5,44.4,15.1,19.4,,POINT (-86.4592906261335 35.5134252888524)
AR,Arkansas,Greene,5055,46743,12.5,42.3,11.2,18.5,18.0,POINT (-90.5590804450475 36.1176154800063)
WV,West Virginia,Gilmer,54021,7254,15.5,42.9,11.4,20.7,19.8,POINT (-80.8565551863755 38.9243479452265)
MI,Michigan,Branch,26023,45215,13.3,36.0,8.7,18.0,17.0,POINT (-85.0591029060109 41.916103026926)
TX,Texas,Wharton,48481,41739,15.0,40.0,21.3,14.2,,POINT (-96.222100004124 29.2777863659178)
NM,New Mexico,San Miguel,35047,26668,17.1,37.3,20.1,11.6,24.0,POINT (-104.815744027086 35.4805111937792)
MO,Missouri,Greene,29077,304611,11.0,36.7,8.4,15.4,13.4,POINT (-93.3419574712043 37.2580255788825)
OH,Ohio,Williams,39171,36591,14.4,40.6,9.0,17.8,13.9,POINT (-84.5878774120262 41.560269481809)
IN,Indiana,Henry,18065,48929,13.5,43.7,8.5,18.0,14.4,POINT (-85.3964926671803 39.9310913829344)
GA,Georgia,Clay,13061,2853,21.5,41.2,14.5,17.2,25.9,POINT (-84.9792463725169 31.6261945164247)
WY,Wyoming,Sheridan,56033,32519,10.9,30.6,9.7,12.9,,POINT (-106.87999955798 44.7906982747118)
IN,Indiana,Washington,18175,28205,14.7,41.5,9.0,19.8,15.6,POINT (-86.1051677230078 38.5998424246535)
IN,Indiana,Vermillion,18165,15417,14.3,40.6,8.1,18.6,14.4,POINT (-87.4640232421522 39.8540417175235)
TX,Texas,Andrews,48003,18664,12.7,36.7,25.9,14.5,,POINT (-102.637659667666 32.3048845589417)
SD,South Dakota,Perkins,46105,2834,14.3,36.0,8.4,16.0,,POINT (-102.4744334247 45.4903187523308)
AL,Alabama,Dallas,1047,36165,22.4,46.3,12.3,19.5,34.0,POINT (-87.1065206124462 32.3258306814392)
MO,Missouri,Nodaway,29147,20695,10.6,36.1,8.2,14.7,12.9,POINT (-94.8832342053008 40.3608749796884)
VA,Virginia,Lynchburg,51680,79535,11.0,36.4,8.9,12.3,16.2,POINT (-79.1900223169948 37.4000094023824)
OK,Oklahoma,Custer,40039,28266,11.8,41.0,12.0,15.4,18.7,POINT (-99.0014382075911 35.6388260290226)
SD,South Dakota,Harding,46063,1324,11.2,35.3,7.5,13.3,,POINT (-103.494393539516 45.580166949972)
WI,Wisconsin,Marinette,55075,42106,13.9,37.8,7.7,16.1,12.1,POINT (-88.0335910948551 45.3828910098394)
TN,Tennessee,Cumberland,47035,64760,17.3,39.5,11.5,19.4,,POINT (-84.998350915423 35.9502035602926)
VA,Virginia,Radford,51750,16971,9.2,34.4,9.2,14.0,18.4,POINT (-80.5568534112301 37.1235124820032)
ND,North Dakota,Grand Forks,38035,72708,9.1,35.2,7.1,11.3,10.7,POINT (-97.4570319637973 47.9218683794725)
AL,Alabama,Chambers,1017,34079,17.9,41.5,11.5,17.7,24.6,POINT (-85.3917577489906 32.9141677822456)
NY,New York,Niagara,36063,209457,11.3,39.5,5.8,13.7,13.4,POINT (-78.7453321619224 43.200002130304)
AK,Alaska,Dillingham,2070,4607,13.0,38.5,13.3,25.7,27.5,POINT (-158.236178154164 59.7978171220014)
WA,Washington,Benton,53005,215219,10.4,36.2,10.6,10.4,,POINT (-119.511240620845 46.2396256458377)
MO,Missouri,Bates,29013,16242,13.8,41.2,10.1,20.5,15.9,POINT (-94.3401998684452 38.257407219568)
NE,Nebraska,Gage,31067,21634,12.6,41.8,8.9,15.8,11.9,POINT (-96.6894103367667 40.2618261049552)
OH,Ohio,Hocking,39073,27540,15.7,36.1,8.7,20.5,15.9,POINT (-82.4790929531545 39.4970988676517)
SD,South Dakota,Douglas,46043,2838,13.6,35.1,9.3,15.8,,POINT (-98.36626827691 43.3869320061821)
TN,Tennessee,Johnson,47091,18375,17.5,40.0,14.2,23.2,,POINT (-81.8519837023031 36.4545547667015)
UT,Utah,Garfield,49017,5314,11.6,28.6,9.0,9.3,11.1,POINT (-111.443307900102 37.854674848731)
ID,Idaho,Cassia,16031,25696,11.0,37.5,15.8,13.0,17.1,POINT (-113.601171772012 42.2836888706219)
UT,Utah,San Juan,49037,14358,15.4,34.2,12.0,15.7,25.6,POINT (-109.804477721205 37.6260460339073)
CO,Colorado,Otero,8089,18136,14.5,34.6,18.8,15.3,,POINT (-103.717022312193 37.9021617548008)
AR,Arkansas,Carroll,5015,28814,15.0,37.6,13.7,17.0,18.0,POINT (-93.5382990189827 36.340959511681)
AL,Alabama,Shelby,1117,233000,11.2,31.7,7.1,10.5,11.1,POINT (-86.6608662882591 33.2645243865867)
KS,Kansas,Elk,20049,2467,15.8,40.5,9.5,18.4,14.6,POINT (-96.243708914227 37.4533832396967)
FL,Florida,Santa Rosa,12113,203162,10.9,32.1,10.8,13.4,,POINT (-87.0219379816929 30.7003170541744)
CA,California,Sonoma,6097,481812,10.7,26.1,8.4,10.6,12.5,POINT (-122.887568125266 38.5287343227086)
CO,Colorado,Alamosa,8003,16655,11.3,30.3,18.0,12.7,,POINT (-105.78848300659 37.5728638541496)
VA,Virginia,Westmoreland,51193,19013,18.3,41.0,11.2,17.1,18.8,POINT (-76.8022000014334 38.1119026327638)
SD,South Dakota,Jerauld,46073,1660,13.8,35.6,8.9,14.5,,POINT (-98.629623896685 44.0663241605135)
ND,North Dakota,Walsh,38099,10305,12.4,35.8,9.9,14.8,12.3,POINT (-97.7214186819972 48.3694863577566)
GA,Georgia,Dodge,13091,19776,16.7,40.4,14.9,18.7,22.9,POINT (-83.1684910656793 32.1719787064164)
GA,Georgia,Rockdale,13247,95987,17.0,39.0,13.6,14.1,22.7,POINT (-84.0269604060342 33.6543894732027)
TX,Texas,Jim Hogg,48247,4720,22.8,44.7,40.6,17.2,,POINT (-98.6972817085145 27.0434461353436)
NJ,New Jersey,Bergen,34003,957736,9.7,25.6,9.8,8.4,10.7,POINT (-74.0742715882702 40.959794755106)
CA,California,Marin,6041,254407,10.2,21.3,5.5,8.2,8.8,POINT (-122.72355494043 38.0735138436081)
IL,Illinois,Ogle,17141,51265,12.2,40.9,8.9,14.0,13.1,POINT (-89.3207025886073 42.042663795913)
MI,Michigan,Newaygo,26123,51108,13.2,37.8,8.0,18.0,16.1,POINT (-85.800846471442 43.5540671108031)
TN,Tennessee,Hamilton,47065,379864,12.7,34.5,10.7,15.4,,POINT (-85.1641327091536 35.1812133560926)
MS,Mississippi,Lauderdale,28075,70527,16.7,42.1,12.0,18.5,24.9,POINT (-88.6624847523021 32.4042972809531)
KS,Kansas,Harvey,20079,33504,12.2,36.5,9.8,13.8,12.0,POINT (-97.4272616589025 38.0431104082728)
SC,South Carolina,Chesterfield,45025,44031,18.1,45.2,15.5,18.1,26.7,POINT (-80.1588731867944 34.639803765771)
MI,Michigan,Sanilac,26151,40368,13.8,40.0,7.7,17.9,15.3,POINT (-82.820389178865 43.4235105284131)
OK,Oklahoma,Rogers,40131,100248,12.4,40.1,9.0,15.7,14.6,POINT (-95.6042495763961 36.37159098599)
TX,Texas,Crane,48103,4574,15.0,39.7,30.5,14.3,,POINT (-102.515175576742 31.4287016784355)
OH,Ohio,Erie,39043,74035,14.4,40.1,7.7,14.9,12.8,POINT (-82.6382293326083 41.3742735650267)
NE,Nebraska,Keith,31101,8113,13.2,35.4,9.4,14.0,11.2,POINT (-101.661634455601 41.1989355357846)
ME,Maine,Washington,23029,31555,14.9,39.8,9.6,18.3,14.6,POINT (-67.6293632313936 45.021838234264)
GA,Georgia,Lincoln,13181,7879,18.2,38.0,13.1,18.0,19.9,POINT (-82.4512209392449 33.7932999440969)
SC,South Carolina,Williamsburg,45089,29891,20.4,45.0,15.5,17.5,30.1,POINT (-79.7276057394786 33.6198225875476)
OK,Oklahoma,Harper,40059,3190,14.0,39.4,13.8,16.2,17.4,POINT (-99.6673226920585 36.7888259275223)
TX,Texas,Madison,48313,13742,13.1,37.1,21.3,16.2,,POINT (-95.9269805471316 30.9654128932374)
OK,Oklahoma,Muskogee,40101,66677,15.2,41.5,12.1,20.7,23.6,POINT (-95.3797854950482 35.6164240462291)
MD,Maryland,St. Mary's,24037,115281,11.4,37.4,7.6,12.7,12.1,POINT (-76.605795271699 38.3013809700825)
